category,product_name,product_price,rating,discount,reviews,rating_val,date,month,year,sales ,revenue,product_description
Android mobile,CMF by Nothing Phone 1 ,16499,9468,25, 561 ,2.1,10,4,2015,238,3926762,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 5G Processor1 Year Manufacturing Warranty
Android mobile,vivo V30 Pro 5G ,38999,4744,17, 619 ,3.3,9,7,2012,252,9827748,8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 8200 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Android mobile,REDMI Note 13 Pro+ 5G ,27999,9528,17, 943 ,3.5,16,4,2013,121,3387879,8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display200MP (OIS) + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7200 Ultra 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Android mobile,OnePlus Nord CE 3 Lite 5G ,19328,124686,12," 6,406 ",3.7,13,3,2024,218,4213504,8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories
Android mobile,CMF by Nothing Phone 1 ,15999,34816,20," 2,320 ",3.4,20,9,2012,172,2751828,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 5G Processor1 Year Manufacturing Warranty
Android mobile,CMF by Nothing Phone 1 ,15999,34816,20," 2,320 ",1.6,31,2,2018,202,3231798,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 5G Processor1 Year Manufacturing Warranty
Android mobile,OnePlus Nord CE 3 Lite 5G ,15718,124686,21," 6,406 ",2.7,24,8,2025,245,3850910,8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories
Android mobile,REDMI 13c 5G ,10630,14563,33, 594 ,4.2,28,11,2015,133,1413790,6 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh Battery1 Year
Android mobile,Motorola G85 5G ,16999,68387,19," 3,091 ",2.6,5,9,2020,136,2311864,8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera5000 mAh Battery6s Gen 3 Processor1 Year on Handset and 6 Months on Accessories
Android mobile,Motorola Edge 50 Fusion ,23999,61099,14," 4,044 ",1.9,5,5,2022,136,3263864,12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Processor1 Year on Handset and 6 Months on Accessories
Android mobile,Infinix Smart 8 Plus ,7799,8085,22, 472 ,3,30,7,2023,134,1045066,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display50MP + AI Lens | 8MP Front Camera6000 mAh BatteryMediatek Helio G36 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
